increment,time,volume_mean_mises,field_share_g0,field_share_h0,field_share_q,field_share_gd0,field_share_m,field_share_gsat,field_share_C11,field_share_C12,field_share_C44,field_share_a,scalar_share_g0,scalar_share_h0,scalar_share_q,scalar_share_gd0,scalar_share_m,scalar_share_gsat,scalar_share_C11,scalar_share_C12,scalar_share_C44,scalar_share_a
11,0.4399999976158142,20.242156721891977,39.664862003488594,5.155180483058798,4.4671080294370755,2.3982586210281274,1.8432757616615003,3.582754627147523,20.725968533371365,14.562472735245475,4.527428005470091,3.0726912000914397,44.28601698462548,5.609059282469588,4.86599144281834,2.6888717985768706,0.9965923548204043,3.882359704442416,18.411236278167884,12.74995405734409,3.1782865264754188,3.331631570259514
12,0.47999998927116394,20.65161879757508,39.577231105826606,5.651206865762414,4.901180012733168,2.437805794536447,1.862799185395699,3.9754475607570776,19.85455934862589,13.956750281178223,4.379579293213448,3.4034405519710456,44.406022986255984,6.252997257425646,5.4253605031634,2.7519052251585294,0.9602613116119885,4.379084259488855,17.15363776025184,11.881954860531875,3.0373985829750847,3.751377253136797
13,0.5199999809265137,21.03594305599888,39.18159827273427,6.083985510439772,5.28142770430109,2.454309908373107,1.866104699787899,4.326238266165682,19.271301681765987,13.56316903566261,4.274353377644149,3.6975115431254384,44.12130171087092,6.813979943153739,5.910809840151775,2.7880811832099055,0.9200499518509841,4.826342010173453,16.271493135669008,11.275703464934066,2.944760674581867,4.127478085404277
14,0.5600000023841858,21.40248149385721,38.63356582869343,6.490222841538625,5.637090621336635,2.463159040580629,1.8678048915604386,4.663081820679789,18.830979690618218,13.2550348129834,4.180037223028663,3.9790232289801666,43.580894692787034,7.309871268301806,6.337135881272427,2.8062722569785516,0.8737212628880769,5.234679178482172,15.65906390860045,10.860159913599349,2.8690119336541753,4.469189703435966
15,0.6000000238418579,21.753431254874044,38.225150910712685,6.875665450290505,5.96791736190785,2.4770586413068907,1.8677645723095329,4.98942163377785,18.352634903392392,12.919843151211609,4.07357048499274,4.250972890097939,43.19503495028383,7.777947082032685,6.738486315539353,2.830089512239348,0.824243678205385,5.628808212470464,15.013355251140476,10.419572736319617,2.774623781240729,4.797838480528102
16,0.6399999856948853,22.08913021342396,37.904577711225485,7.234320859761355,6.274709172326466,2.4913253690393162,1.8667795120634931,5.302431608200949,17.862180635530372,12.582268846018732,3.9707619337809557,4.510644352052871,42.89187776287929,8.226435829721229,7.122846762056388,2.8566114679754904,0.7844073094544232,6.013915766909277,14.344039014066514,9.958626566589432,2.6833092784068078,5.117930241941159
17,0.6800000071525574,22.41187286346232,37.485298105168376,7.571749894896089,6.558018602601168,2.4999104617706642,1.8629082198416411,5.603737767914951,17.466105782613518,12.30794227008305,3.884714699362451,4.759614195748099,42.42922188732738,8.637254899468259,7.4744432596950965,2.8721490497948707,0.7512250955071664,6.376504209101736,13.825720420251361,9.602095316745254,2.6133791946342173,5.418006667474647
18,0.7200000286102295,22.72403718637618,37.058850327772255,7.89026082567678,6.827099703879174,2.506104536752068,1.85952980891971,5.895054938738677,17.098348738844553,12.055706384139643,3.809817100632177,4.999227634644959,41.89935731438988,9.008600102650366,7.791836220974976,2.881096311739184,0.7137721443150223,6.713968817743388,13.4186664437202,9.323574323858137,2.553120212025401,5.696008108583442
19,0.7599999904632568,23.02673445677257,36.669894530735455,8.188390374280353,7.081672768269251,2.5143520087800755,1.8630380364142836,6.174144146738044,16.73677701217771,11.803170628023267,3.740657769233245,5.227902725348309,41.43075617102922,9.354502685777756,8.087152875088082,2.8910405077843144,0.6703211909131938,7.035551298879295,13.023704616641218,9.053059931301567,2.4939832234393,5.9599274991460565
20,0.800000011920929,23.320365938838066,36.30418879760658,8.460498712307476,7.314502977901052,2.5180963127929545,1.8662130082793302,6.4357958099179875,16.409823570382393,11.581457181386515,3.6679620433305864,5.44146158609515,40.980188302159405,9.685395001543961,8.368836882594062,2.900727279383641,0.6323110206100128,7.348962283969414,12.641971074855963,8.791180136268347,2.434110340218789,6.21631767839639
21,0.8399999737739563,23.605960055356576,35.919741956303604,8.730361891100971,7.547720862974885,2.52331024220266,1.8653797773809044,6.69771599051163,16.09831058855213,11.367885035498444,3.5943358289693443,5.6552378265054335,40.485936181387736,10.00088106366214,8.635955299740617,2.907052300158565,0.5985497172840146,7.654228758121427,12.313816857278423,8.56655148888447,2.3718693743686363,6.465158959113959
22,0.8799999952316284,23.88400119351466,35.55746883453694,8.983645053168871,7.764398032940003,2.529697337618759,1.8625624895018968,6.948895839445212,15.808550743370727,11.180800446592192,3.5050922833289055,5.858888939496489,40.059288199025374,10.299151552665025,8.88766536296682,2.915367434302129,0.5611782519965016,7.948908934352295,11.985733494754296,8.341090587717964,2.2971032447309816,6.704512937488603
23,0.9200000166893005,24.154578111494146,35.24309580034733,9.224981562161023,7.970919914440077,2.538310188523001,1.8655213747092316,7.192985632890487,15.507953067384639,10.974917723597663,3.4247552882871544,6.056559447659402,39.68670559354878,10.58356029528785,9.127240988893869,2.9252783911034728,0.5236576227210352,8.235301933232899,11.650698971233489,8.109182854453458,2.222016248717451,6.936357100807712
24,0.9599999785423279,24.418131465766077,34.90059562108705,9.44153901751595,8.155883683832796,2.54215853656236,1.863634201064777,7.421080836025764,15.272614383585854,10.812211809128208,3.3503722830412617,6.2399096281559805,39.322328036348836,10.854152323576061,9.354875520580178,2.9345069190140043,0.4880292692728397,8.513658020355248,11.327205762868873,7.88429978489189,2.1600690631694857,7.1608752999225995
25,1.0,24.675457368553975,34.56218312128428,9.652046262713286,8.335657214712574,2.5444690699966226,1.8643290631845564,7.646315886335087,15.038967248073456,10.64245591175103,3.293186521257918,6.420389700691204,38.897283897875134,11.109980199562939,9.569989192930088,2.939520350276755,0.45740406980807624,8.783142908097064,11.056980785332527,7.697001276519679,2.1113157996041823,7.377381519993571
