output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
tip_RF2,nu,10,0.02/0.01,-2.0377238591512046,-1.9194301759493901,0.05805187129284956,0.05464987032234168,0.0010535376430109247,0.005657571437603825,6.115983165424229e-05
tip_RF2,nu,11,0.02/0.01,-3.430922826131185,-3.5568516268068344,0.036704060993890265,0.02464617451529971,0.0016696739155269704,0.0035698374527566735,6.12838132354095e-05
tip_RF2,nu,12,0.01/0.005,-5.175193150838216,-5.173860660782699,0.00025747639106009037,9.981725763607743e-05,0.0024097767024357447,0.004946901902997375,6.20460608603841e-07
tip_RF2,nu,13,0.02/0.01,-5.086739857991536,-5.087238647442025,9.805680345630401e-05,0.0002031059588164774,0.0022923541457110295,0.0026001499326319317,2.2478091991823012e-07
tip_RF2,nu,14,0.02/0.01,-6.044308344523112,-5.982604484289321,0.010208589091868992,0.006212609295904279,0.0026581620886022292,0.002242325440986678,2.7136084502124416e-05
tip_RF2,nu,15,0.01/0.005,-5.512317021687825,-5.510809449240849,0.00027349160816490646,0.00015859056241969622,0.0023795407129978243,0.005009760450813948,6.507844162916432e-07
tip_RF2,nu,16,0.01/0.005,-4.637082417805989,-4.63753420328041,9.742882133942233e-05,5.9984918077804304e-05,0.001973119369839752,0.006041666377258405,1.9223869456547076e-07
tip_RF2,nu,17,0.01/0.005,-4.190127054850261,-4.190732273907178,0.00014443930911763514,2.8450041726727864e-05,0.0017621786301172397,0.006764881125748876,2.545278638759948e-07
tip_RF2,nu,18,0.02/0.01,-3.436128298441569,-3.3854444836918494,0.01475026842644577,0.011755114313138292,0.0014316724968903409,0.004163287686594152,2.1117553627892375e-05
tip_RF2,nu,19,0.02/0.01,-3.0481417973836265,-3.050726283617097,0.0008478891092563057,5.866325985216858e-05,0.0012600710218336356,0.004730260734720721,1.0684004963022043e-06
tip_RF2,nu,20,0.02/0.01,-2.5803248087565103,-2.468755666795888,0.0432384099792416,0.03301712455340649,0.0010596976766278248,0.005624683915988644,4.581964259608368e-05
tip_RF2,nu,21,0.01/0.005,-2.237399419148763,-2.242266588632805,0.0021753690657046925,0.03369090327851396,0.0009138991165998846,0.013044031598837012,1.9880678674262347e-06
tip_RF2,nu,22,0.01/0.005,-1.8668969472249348,-1.8628543781008062,0.0021653948977407157,0.0005321186837512636,0.0007587689087474702,0.01571088221676936,1.6430343235660629e-06
tip_RF2,nu,23,0.01/0.005,-1.4635721842447917,-1.4506722611632639,0.008813998530714275,0.0029050825369245146,0.0005921431975007148,0.02013183467342582,5.219149272743752e-06
tip_RF2,nu,24,0.01/0.005,-1.723925272623698,-1.7276180997516564,0.002142103945339894,0.0012907984510419446,0.0006946154322708667,0.017161912046937556,1.4879384579613994e-06
tip_RF2,nu,25,0.02/0.01,-1.1914173762003581,-1.1914656803046366,4.054339414834131e-05,0.0011840042690858773,0.00047835647361621763,0.012460298556179056,1.9394195053232944e-08
tip_RF2,nu,26,0.02/0.01,-0.7571379343668619,-0.7559412899715445,0.0015804840056232012,0.0013120604597459363,0.0003029646390577729,0.019673795912540308,4.788307663002163e-07
tip_RF2,nu,27,0.02/0.01,-0.8450746536254883,-0.8457741988249787,0.0008277910081544881,0.0019043588658484976,0.00033706994553702846,0.017683168008475803,2.790234700346752e-07
tip_RF2,nu,28,0.02/0.01,-0.6697972615559896,-0.6689135042099688,0.0013194400705189935,0.0007712387280494697,0.0002663623889548498,0.022377275188613058,3.514492092661946e-07
tip_RF2,nu,29,0.01/0.005,-0.617822011311849,-0.6175102604273834,0.0005045965970095519,0.0001929508618471829,0.00024498355047803067,0.048660119962410105,1.2361786589453204e-07
tip_RF2,nu,30,0.02/0.01,-0.6817181905110677,-0.6805249640746771,0.0017503221316363942,0.000495453485660939,0.00026956532076653203,0.02211139200172326,4.7182614685932467e-07
tip_RF2,nu,31,0.01/0.005,-0.7143020629882812,-0.7115717310462517,0.0038223772315695154,0.0003337783711615487,0.00028171293028518123,0.042315874329979915,1.076813090560807e-06
tip_RF2,nu,32,0.01/0.005,-0.6373723347981771,-0.6395641188571695,0.0034387812889405778,0.0021197007481296177,0.00025075123036343824,0.04754085927235515,8.622786391526198e-07
tip_RF2,nu,33,0.02/0.01,-0.5788803100585938,-0.5132504056629026,0.11337387583462316,0.05711147721032393,0.00022718704457656648,0.02623593474992483,2.5757075783058645e-05
tip_RF2,nu,34,0.02/0.01,-0.625451405843099,-0.6591988232516295,0.053956897519543474,0.04269377382465057,0.0002448781942754889,0.02434052772715858,1.3212867633293412e-05
tip_RF2,nu,35,0.02/0.01,-0.6945927937825521,-0.6967011161933505,0.0030353358538562935,0.0022883295194507476,0.00027132151436286565,0.02196827071209521,8.235519204681914e-07
tip_RF2,nu,36,0.01/0.005,-0.6812413533528646,-0.6828918902435728,0.002422837196515903,0.00011665888940742716,0.00026550115746982675,0.04489972499058839,6.432660800359224e-07
tip_RF2,nu,37,0.02/0.01,-0.6321271260579427,-0.6416186233807211,0.015015171682267436,0.0015086748805632386,0.00024581166087933283,0.024248094887837766,3.6909042896064844e-06
tip_RF2,nu,38,0.02/0.01,-0.5726019541422526,-0.5735597617600701,0.0016727285174083543,0.00027758501040956715,0.0002221763694326049,0.02682762569557206,3.71640749044172e-07
tip_RF2,nu,39,0.02/0.01,-0.5232493082682291,-0.5204892105321828,0.005274919034640109,0.007138517618468946,0.00020258621961813785,0.02942186536070498,1.0686259060194968e-06
tip_RF2,nu,40,0.02/0.01,-0.49765904744466144,-0.49835536245593914,0.0013991808545490826,0.00031938677738745335,0.0001922661131015573,0.031001118092977058,2.6901506443026754e-07
