increment,time,volume_mean_mises,field_share_g0,field_share_h0,field_share_q,field_share_gd0,field_share_m,field_share_gsat,field_share_C11,field_share_C12,field_share_C44,field_share_a,scalar_share_g0,scalar_share_h0,scalar_share_q,scalar_share_gd0,scalar_share_m,scalar_share_gsat,scalar_share_C11,scalar_share_C12,scalar_share_C44,scalar_share_a
11,0.4399999976158142,20.240787166324925,39.65393909480755,5.158462786547651,4.470012938428398,2.3979696798589827,1.843778986710685,3.585668494553946,20.726603193804426,14.56276123150961,4.525684748464232,3.075118845314524,44.27581607855008,5.612200716455718,4.868877676902669,2.6886548627786717,0.9977746951896469,3.885080460567582,18.411212971250727,12.750036990033589,3.1764505255630344,3.3338950227082926
12,0.47999998927116394,20.650279503111616,39.56697380129138,5.654263337688931,4.9036630059326844,2.437529244107584,1.8631351980506714,3.9782150511336787,19.855775703980573,13.956822424508351,4.377889439292981,3.4057327940131565,44.39391880164489,6.255800965757152,5.4278961556244045,2.7515682276716578,0.9617137498704859,4.381644786031109,17.155137138916423,11.883143034187041,3.0356856210825525,3.7534915192142893
13,0.5199999809265137,21.034636499715067,39.172727630466255,6.086675538021188,5.283658339327762,2.454075142819956,1.8660332717415176,4.328785103491727,19.27218553035339,13.563792956957409,4.272458532659646,3.699607954161145,44.11018627674056,6.816457861993917,5.91305318104959,2.787768513834455,0.9214327181089089,4.828726137954642,16.273092993819162,11.277051324998292,2.9427987648944294,4.129432226606055
14,0.5600000023841858,21.401264810524165,38.62563222971287,6.492653762841921,5.639011480524955,2.4629361876018456,1.867682333952229,4.665400267248083,18.831487453322037,13.255463145618348,4.178813813078537,3.980919326099176,43.5703690039757,7.312129983469865,6.339171151241286,2.8059723244929424,0.8751588381373749,5.2369475024133,15.660378025650187,10.861292206351798,2.8675435425478413,4.471037421719694
15,0.6000000238418579,21.752343500241324,38.21736820658557,6.877783913718959,5.969610317458676,2.4767998130844613,1.8677094262005118,4.991563194757947,18.3533498323055,12.920352496891965,4.072747233789571,4.252715565206855,43.18422134308998,7.779896075263516,6.740238040334658,2.8297497129690528,0.8256416742586971,5.630876841027569,15.015103346999146,10.420941588728994,2.773820738461333,4.799510638867058
16,0.6399999856948853,22.087899730920373,37.89611132039534,7.236513662490969,6.276542609401927,2.4910572817217065,1.8666770556681103,5.30469998579235,17.863098938362935,12.582848263486987,3.969968183675121,4.5124826990045745,42.88049114840989,8.22844470357423,7.124664403709772,2.8562525363332614,0.785631445808881,6.016114874681068,14.346002145328663,9.960092666159236,2.682606171569832,5.119699904425171
17,0.6800000071525574,22.41072640477981,37.47687271290602,7.5735481583179,6.5595873208464095,2.4995942712269152,1.8628820015290914,5.605751014021896,17.467518624245354,12.308919136860213,3.884096112701378,4.76123064734481,42.418265921642416,8.639050956047386,7.476116764459674,2.871794521396595,0.752228558740417,6.378573550242182,13.827858632269422,9.603646644589183,2.6128043337041267,5.4196601169085845
18,0.7200000286102295,22.72302100541383,37.05116038028874,7.891844277466214,6.828564422646068,2.505824609330349,1.8595527405265557,5.896900748566095,17.099644043817918,12.056610247449877,3.809200271291992,5.0006982586162,41.88891492151512,9.01015934458407,7.793342214694101,2.8807470530998804,0.7146578884743503,6.715866795898316,13.420917469019896,9.325205298389719,2.5526757406660012,5.697513273658565
19,0.7599999904632568,23.02558168712743,36.66095552559001,8.19014021693634,7.083307381574038,2.514012718943632,1.8630459063097804,6.176205404320808,16.73829099217428,11.8042689522178,3.7402312521631274,5.229541649770169,41.418639315874955,9.356185443859427,8.088767627749482,2.8906235913119387,0.6712546183228979,7.0376470665043485,13.026570378010096,9.055142852269839,2.493585051270112,5.961584054826894
20,0.800000011920929,23.319275987877898,36.29689806981215,8.462195860161396,7.3161801583832275,2.5178986234368743,1.8663115247881747,6.437916830539527,16.410301993487472,11.58165155565401,3.667499844531038,5.443145539206133,40.96970619836136,9.686997388633015,8.370387128906184,2.9003866428540475,0.6331143070891536,7.3510292700865865,12.64413487927172,8.792760804327157,2.433540321194799,6.217943059275988
21,0.8399999737739563,23.60467851532403,35.91227822197466,8.732126194551508,7.5494782774158695,2.5230445398732466,1.8654722812218423,6.699916827038852,16.098193714168225,11.368645189905395,3.5938714944802377,5.6569732593701785,40.47501160378453,10.002779126670848,8.637758067249749,2.9067222498251906,0.5994860365869386,7.656654266048347,12.315449271852287,8.567733617838968,2.3713390416402675,6.467066718502876
22,0.8799999952316284,23.882775661141892,35.5491833246583,8.985426855727313,7.766124635654268,2.529406630908821,1.8625610578564609,6.951100205475533,15.809366528061188,11.181326308763232,3.504885058227303,5.860619394667592,40.04795943602129,10.300931750833104,8.88937135922623,2.915009011567686,0.5621319032527891,7.9512890444993936,11.98765884652862,8.342438339183971,2.2968367600781248,6.706373548808803
23,0.9200000166893005,24.15320156979725,35.234034805653955,9.227063781601895,7.972900734311747,2.5380331565223337,1.8655844884686243,7.195604318847185,15.509181259612586,10.974528181062094,3.424450514368904,6.058618759550676,39.67418079771601,10.585520432483609,9.12910577515334,2.924883802822658,0.5247156919010709,8.237974826253577,11.65281102297177,8.11064951908376,2.221717660911081,6.938440470703132
24,0.9599999785423279,24.4167199461495,34.892296923028134,9.443531143248318,8.157795440674322,2.541906902986117,1.8638674922915903,7.42365763825782,15.27275146166608,10.812306161798508,3.349960866548552,6.241925969500564,39.310136318797575,10.855972258297788,9.356634072855401,2.934118508000422,0.48909119493195635,8.516261582913073,11.32943936975734,7.885847666776109,2.1596074145947206,7.1628916130756135
25,1.0,24.674133193235264,34.55430296681436,9.653655311096015,8.337210838425255,2.5441789287690786,1.8642327640948475,7.648581003099741,15.039845007175384,10.643060089428477,3.292781838002572,6.422151253094266,38.886262813906285,11.111579182646564,9.571580260419996,2.9391700076258194,0.45843824116100124,8.785558155963628,11.058923060593415,7.698349022981223,2.110900617461487,7.3792386372405785
