output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
root_mises,h0,10,0.02/0.01,0.008840290645983462,0.0088377443212057,0.004139965564230628,3.4331355025430746e-05,0.13242769991042344,4.500919733236197e-05,0.0005482461173794205
root_mises,h0,11,0.02/0.01,0.00976066836071432,0.009761864107819406,0.003314256204639431,4.416280355251021e-05,0.14313826495270873,4.164130730177799e-05,0.0004743968827408378
root_mises,h0,12,0.01/0.005,0.010633838630197623,0.01063736913343701,0.002460690634868048,4.763231241619598e-05,0.15285063709482166,7.799070505465357e-05,0.00037611813123284235
root_mises,h0,13,0.02/0.01,0.01147008434420771,0.011474677360578478,0.0024793257824812284,3.993806907628295e-05,0.16179250002303985,3.684017786170725e-05,0.00040113631671921744
root_mises,h0,14,0.01/0.005,0.012276376372216014,0.012283397234039869,0.0022247633027934763,3.040204382422337e-05,0.17011492887611437,7.007573664366342e-05,0.00037846545102090154
root_mises,h0,15,0.02/0.01,0.013045364800414738,0.013053729427897696,0.002324706180092968,3.4980230457114316e-05,0.17775024937924375,3.353280514854275e-05,0.0004132171032449942
root_mises,h0,16,0.01/0.005,0.013777728025761604,0.013787488401349595,0.0023471402246335775,3.207455905272717e-05,0.18473464039412973,6.453001413078201e-05,0.00043359810535228087
root_mises,h0,17,0.01/0.005,0.01448631641907383,0.01449795464599411,0.0023156228449047874,3.3136864678185866e-05,0.19127961995072446,6.232200251207669e-05,0.0004429314577226031
root_mises,h0,18,0.02/0.01,0.015300410453215285,0.015185477091279737,0.007511782921581019,0.00390590055467714,0.19908658840204188,2.993905579165538e-05,0.001495495234674288
root_mises,h0,19,0.02/0.01,0.015867327457843583,0.015846664987838537,0.002042411711312298,0.0009818468168172087,0.20357437728711839,2.9279050521827257e-05,0.00041578269229431894
root_mises,h0,20,0.02/0.01,0.01648240497609832,0.016486230766240045,0.0012734795847362155,0.0005680330764098016,0.20862953336914863,2.856961035805333e-05,0.00026568545151865383
root_mises,h0,21,0.02/0.01,0.017097065236857834,0.017110103260315385,0.0010142384013452624,0.00043582556360047514,0.2136097714209608,2.79035197589008e-05,0.0002166512330777222
root_mises,h0,22,0.02/0.01,0.017700250647678217,0.01771645876840488,0.0009419147096114187,0.0003197688756850547,0.21839047112280938,2.7292694808956493e-05,0.00020570519718954194
root_mises,h0,23,0.01/0.005,0.01828589851511886,0.018304515334397826,0.0017122135314769512,0.0014450675614397887,0.22289156839925056,5.348308615122207e-05,0.0003816379594653172
root_mises,h0,24,0.01/0.005,0.01885629096259045,0.01887472147335716,0.0015450466738449002,0.0010078042327206934,0.22716269389405266,5.247749421671313e-05,0.0003509769646226533
root_mises,h0,25,0.01/0.005,0.01941254613571708,0.019431042902091723,0.00148568675329159,0.0007293869556793102,0.23122110565382878,5.155640494568635e-05,0.0003435221337513286
tip_RF2,q,1,0.02/0.01,0.0,-1.3684839513947344e-21,1.3684839513947343e+279,0.0,1.10463952964082e-301,5.395845719442199e+295,1.5116814683896902e-22
tip_RF2,q,2,0.01/0.005,0.0,-6.997158675486347e-08,6.997158675486347e+292,0.0,5.5234384447145e-302,2.1582441941550966e+296,3.8648375231948885e-09
tip_RF2,q,3,0.02/0.01,-0.023118087223597938,-0.023267514104176493,0.006463635124017837,0.0001841620626151227,0.0008739516189847516,0.00682013094095894,5.648904381162094e-06
tip_RF2,q,4,0.02/0.01,-0.26118968214307514,-0.2626943533804525,0.005760837200885755,2.852555482204129e-05,0.008298778076436782,0.0007182339885028335,4.780790946463214e-05
