output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
tip_region_U,nu,2,5e-3/2e-3,0.0003182018796602885,0.000318259249146117,0.00884320108978647,0.011707317073170742,0.0027274446711904464,0.010926829314813383,2.4119341688603658e-05
tip_region_U,nu,3,5e-3/2e-3,0.0004773028194904328,0.0004773888855752773,0.005552937105401836,0.006504065040650425,0.002727444767957337,0.010926828927140895,1.5145329254924396e-05
tip_region_U,nu,4,5e-3/2e-3,0.000636403759320577,0.0006365184982922134,0.008843201089781103,0.011707317073170742,0.0027274446711904464,0.010926829314813383,2.411934168858902e-05
tip_region_U,nu,5,5e-3/2e-3,0.0007962808012962342,0.0007955834079479786,0.007588851727954059,0.007797270955165697,0.0027301056509376536,0.010916179151330543,2.0718366986615353e-05
tip_region_U,nu,6,5e-3/2e-3,0.0009546056389808656,0.0009547777711505784,0.005552937105400022,0.006504065040650425,0.002727444767957337,0.010926828927140895,1.514532925491945e-05
tip_region_U,nu,7,5e-3/2e-3,0.0011144826809565227,0.0011137190720472688,0.0051317550241255444,0.005571030640668523,0.0027293452879974737,0.01091922026822826,1.4006331394254418e-05
tip_region_U,nu,8,5e-3/2e-3,0.0013442089160283408,0.001343281278410656,0.007992317040439793,0.009237875288683603,0.0028804476649401545,0.010346420367375257,2.3021450956596208e-05
tip_region_U,nu,9,5e-3/2e-3,0.0014839073022206626,0.001483349298199991,0.006999990163211261,0.008368200836820083,0.0028264901208611905,0.010543932974587923,1.978540304244214e-05
tip_region_U,nu,10,5e-3/2e-3,0.0015584131081899009,0.0015569611814002554,0.006846543344976233,0.007968127490039863,0.0026715653738220314,0.011155378296080813,1.829098813081017e-05
tip_region_U,nu,11,5e-3/2e-3,0.0016515453656514487,0.001651625765636198,0.007073254108204716,0.009022556390977442,0.0025738369972386796,0.011578947081601709,1.820540311456778e-05
tip_region_U,nu,12,5e-3/2e-3,0.0017136335372924807,0.0017118072488766342,0.007049061130603093,0.008695652173913042,0.0024480479868495123,0.01217391266339067,1.725643990995205e-05
tip_region_U,nu,13,5e-3/2e-3,0.0017819305260976157,0.0017822283873198876,0.006100513782988427,0.006968641114982575,0.0023497984282321127,0.012682927194788066,1.4334977698674545e-05
tip_region_U,nu,14,5e-3/2e-3,0.0018005569775899253,0.0018014796109700236,0.0053628640298232465,0.006896551724137931,0.0022047636031177365,0.013517241642392914,1.1823847421423605e-05
tip_region_U,nu,15,5e-3/2e-3,0.0018378098805745444,0.0018361900813301578,0.010888963203252017,0.013513513513513513,0.0021003542446115697,0.01418918854481465,2.287068008336957e-05
tip_region_U,nu,16,5e-3/2e-3,0.0018812716007232668,0.0018814496124767586,0.012081656220084024,0.01584158415841584,0.002015648135050501,0.014785478610803586,2.4352367828333645e-05
tip_region_U,nu,17,5e-3/2e-3,0.0019123156865437827,0.001908678971293721,0.011402498759600248,0.012987012987012986,0.001928385473537342,0.015454546197668298,2.1988412970040682e-05
tip_region_U,nu,18,5e-3/2e-3,0.0019371509552001955,0.0019358469488720113,0.011411845813668003,0.012820512820512829,0.0018449056855830367,0.016153846031580214,2.1053779224633074e-05
tip_region_U,nu,19,5e-3/2e-3,0.0019495685895284018,0.001949400083339811,0.010389119567138396,0.012738853503184721,0.0017590091969515765,0.016942675705927952,1.827455686682602e-05
tip_region_U,nu,20,5e-3/2e-3,0.001980612675348918,0.0019834362096876417,0.01086531352974703,0.015047021943573668,0.0016976680363530439,0.017554858635211813,1.84456954844058e-05
tip_region_U,nu,21,5e-3/2e-3,0.001986821492513021,0.0019832675238754846,0.012210615197168666,0.012499999999999997,0.001621895064362473,0.018375000357627867,1.9804336521117266e-05
tip_region_U,nu,22,5e-3/2e-3,0.0019992391268412275,0.0019968804790570613,0.011523367234550285,0.014906832298136646,0.0015578487088549902,0.019130434308733256,1.795166276800606e-05
tip_region_U,nu,23,5e-3/2e-3,0.002017865578333537,0.002019384323574951,0.011082397375460608,0.014769230769230769,0.0015039991754567477,0.019815384791447566,1.6667916514776776e-05
tip_region_U,nu,24,5e-3/2e-3,0.001993030309677124,0.0019898566184997153,0.011180527130396328,0.012461059190031161,0.0014235931227874878,0.02093457878564377,1.5916521531971138e-05
tip_region_U,nu,25,5e-3/2e-3,0.00202407439549764,0.002022112874999632,0.01106539234771994,0.012269938650306747,0.0013879367283412389,0.02147239263803681,1.5358064452906592e-05
tip_region_U,nu,26,5e-3/2e-3,0.002055118481318156,0.002052213538718158,0.011538522057763663,0.014501510574018127,0.0013550231354439535,0.021993958337789575,1.5634964337100136e-05
tip_region_U,nu,27,5e-3/2e-3,0.0020364920298258466,0.0020361905732590043,0.010946610892928232,0.014634146341463409,0.0012930108223744362,0.02304878031335226,1.4154086352878094e-05
tip_region_U,nu,28,5e-3/2e-3,0.002055118481318156,0.0020500933381203033,0.00990255155892497,0.012084592145015113,0.0012582357803999496,0.02368580106522021,1.2459744688694697e-05
tip_region_U,nu,29,5e-3/2e-3,0.002055118481318156,0.0020529581081013605,0.011187266668901102,0.014501510574018127,0.0012148483804625017,0.024531721708637707,1.359083279451663e-05
tip_region_U,nu,30,5e-3/2e-3,0.0020427008469899497,0.00204283569778764,0.016191360423654853,0.014589665653495442,0.001167257679860146,0.02553191373413457,1.8899489801894755e-05
tip_region_U,nu,31,5e-3/2e-3,0.0020489096641540527,0.0020486090450071016,0.021510520150332665,0.029090909090909094,0.0011330375624612706,0.0263030312278054,2.437222731840697e-05
tip_region_U,nu,32,5e-3/2e-3,0.0020613272984822593,0.002059371484105468,0.022596649568572772,0.024096385542168672,0.0011042824766283271,0.02698795192212944,2.495308414908596e-05
tip_region_U,nu,33,5e-3/2e-3,0.002073744932810466,0.002075351248765914,0.019772493993405863,0.02874251497005988,0.001077270121651277,0.027664669973407677,2.1300317009625476e-05
tip_region_U,nu,34,5e-3/2e-3,0.002055118481318156,0.002057601528294701,0.019310024229523038,0.024169184290030205,0.0010361941424364615,0.028761330688107767,2.0008933996937915e-05
tip_region_U,nu,35,5e-3/2e-3,0.0020613272984822593,0.0020600050381858327,0.020901567302770842,0.024096385542168672,0.0010096296775656394,0.029518072863659227,2.1102842656513034e-05
tip_region_U,nu,36,5e-3/2e-3,0.0020675361156463623,0.0020664363830892292,0.02225688020738727,0.024024024024024024,0.0009845410149024857,0.030270270041159324,2.191281142794411e-05
tip_region_U,nu,37,5e-3/2e-3,0.002073744932810466,0.0020742154016529326,0.02056794200653314,0.02395209580838323,0.0009608084949186925,0.031017963043943848,1.9761853402872057e-05
tip_region_U,nu,38,5e-3/2e-3,0.002086162567138672,0.0020805648938573,0.02065359420571253,0.028571428571428574,0.0009411259397702702,0.03166666768846058,1.943763325648501e-05
tip_region_U,nu,39,5e-3/2e-3,0.002086162567138672,0.0020869020811069123,0.020280984995628644,0.02380952380952381,0.0009169945285993126,0.03250000022706532,1.8597552275596218e-05
tip_region_U,nu,40,5e-3/2e-3,0.0020985802014668784,0.002099568928748062,0.02256667480570567,0.023668639053254437,0.0008993915302309228,0.03313609411025189,2.0296276185727236e-05
e1_ip1_S11,nu,1,5e-3/2e-3,-3.398259480794271,-3.400238751036092,0.0005824364657869685,0.0005612722170252573,0.028160427081722034,0.0010583050569939324,1.640165962452982e-05
e1_ip1_S11,nu,2,5e-3/2e-3,-6.796518961588542,-6.800477502072226,0.0005824364657932413,0.0005612722170252573,0.028160427081722034,0.0010583050569939324,1.640165962470646e-05
e1_ip1_S11,nu,3,5e-3/2e-3,-10.197957356770834,-10.200716506445332,0.00027055905197190814,0.0002493765586034332,0.028169208006911223,0.0010579751614026001,7.6214342131493835e-06
e1_ip1_S11,nu,4,5e-3/2e-3,-13.593037923177084,-13.60095500414397,0.000582436465757696,0.0005612722170252573,0.028160427081722034,0.0010583050569939324,1.640165962370549e-05
e1_ip1_S11,nu,5,5e-3/2e-3,-17.000834147135418,-17.001193501843147,2.1137475056772966e-05,0.00014958863126388462,0.02817623274706257,0.0010577113929754241,5.955744168848647e-07
